LearningRate,HiddenNeurons,TrainingTime,Accuracy
0.001,32,1.356524875,3.89419544452608
0.001,64,2.064424375,0.771491550330639
0.001,128,3.888843375,6.02498163115356
0.01,32,1.08867554166667,26.3776634827333
0.01,64,1.76789958333333,44.6730345334313
0.01,128,3.53327045833333,36.2968405584129
0.05,32,0.97822225,40.4481998530492
0.05,64,1.82915191666667,54.8493754592212
0.05,128,3.58240316666667,62.3438648052902
0.1,32,0.983459833333333,57.6781778104335
0.1,64,1.761202,60.3232916972814
0.1,128,3.552942375,72.9243203526818
